,10y,3m_cert_dep,3m_ib,date
0,2.524,0.56,0.1,1997-03-01
1,2.3819999999999997,0.555,0.08,1997-04-01
2,2.736,0.578,0.09,1997-05-01
3,2.6839999999999997,0.605,0.09,1997-06-01
4,2.505,0.673,0.07,1997-07-01
5,2.354,0.593,0.08,1997-08-01
6,2.21,0.56,0.08,1997-09-01
7,1.994,0.53,0.08,1997-10-01
8,1.9409999999999998,0.55,0.1,1997-11-01
9,1.939,0.89,0.1,1997-12-01
10,1.9480000000000002,0.95,0.09,1998-01-01
11,2.0,1.1,0.08,1998-02-01
12,1.855,0.81,0.08,1998-03-01
13,1.867,0.7,0.08,1998-04-01
14,1.655,0.59,0.09,1998-05-01
15,1.54,0.58,0.09,1998-06-01
16,1.683,0.74,0.09,1998-07-01
17,1.5019999999999998,0.73,0.09,1998-08-01
18,1.103,0.55,0.09,1998-09-01
19,0.879,0.61,0.08,1998-10-01
20,0.977,0.628,0.1,1998-11-01
21,1.4880000000000002,0.617,0.09,1998-12-01
22,1.91,0.688,0.09,1999-01-01
23,2.117,0.58,0.08,1999-02-01
24,1.8159999999999998,0.203,0.08,1999-03-01
25,1.5630000000000002,0.188,0.08,1999-04-01
26,1.334,0.08,0.09,1999-05-01
27,1.632,0.0714,0.09,1999-06-01
28,1.703,0.0755,0.09,1999-07-01
29,1.8780000000000001,0.0736,0.09,1999-08-01
30,1.7590000000000001,0.115,0.09,1999-09-01
31,1.692,0.276,0.09,1999-10-01
32,1.817,0.3359,0.1,1999-11-01
33,1.767,0.2605,0.1,1999-12-01
34,1.6909999999999998,0.1158,0.1,2000-01-01
35,1.796,0.0965,0.08,2000-02-01
36,1.819,0.105,0.08,2000-03-01
37,1.74,0.0775,0.08,2000-04-01
38,1.705,0.0685,0.09,2000-05-01
39,1.6640000000000001,0.0791,0.09,2000-06-01
40,1.689,0.1815,0.09,2000-07-01
41,1.75,0.2704,0.09,2000-08-01
42,1.876,0.35,0.09,2000-09-01
43,1.815,0.4819,0.09,2000-10-01
44,1.764,0.565,0.1,2000-11-01
45,1.624,0.5767,0.1036,2000-12-01
46,1.508,0.4816,0.11,2001-01-01
47,1.415,0.4168,0.1255,2001-02-01
48,1.169,0.1727,0.14,2001-03-01
49,1.315,0.0625,0.27,2001-04-01
50,1.25,0.0305,0.35,2001-05-01
51,1.1520000000000001,0.0329,0.44,2001-06-01
52,1.305,0.0441,0.43200000000000005,2001-07-01
53,1.3430000000000002,0.0513,0.436,2001-08-01
54,1.3459999999999999,0.0321,0.447,2001-09-01
55,1.3630000000000002,0.04,0.502,2001-10-01
56,1.328,0.037,0.54,2001-11-01
57,1.334,0.052,0.54,2001-12-01
58,1.42,0.0605,0.66,2002-01-01
59,1.501,0.1379,0.66,2002-02-01
60,1.421,0.1688,0.65,2002-03-01
61,1.3940000000000001,0.0477,0.67,2002-04-01
62,1.365,0.047,0.73,2002-05-01
63,1.328,0.03,0.77,2002-06-01
64,1.296,0.0404,0.84,2002-07-01
65,1.255,0.0318,0.85,2002-08-01
66,1.129,0.033,0.85,2002-09-01
67,1.095,0.034,0.87,2002-10-01
68,0.9790000000000001,0.047,0.86,2002-11-01
69,0.975,0.045,0.85,2002-12-01
70,0.836,0.0435,0.85,2003-01-01
71,0.828,0.044,0.84,2003-02-01
72,0.7240000000000001,0.0452,0.84,2003-03-01
73,0.6629999999999999,0.0375,0.84,2003-04-01
74,0.5770000000000001,0.0346,0.86,2003-05-01
75,0.529,0.0393,0.85,2003-06-01
76,0.956,0.0357,0.85,2003-07-01
77,1.406,0.0378,0.87,2003-08-01
78,1.42,0.0392,0.89,2003-09-01
79,1.4369999999999998,0.0338,0.88,2003-10-01
80,1.3330000000000002,0.0282,0.74,2003-11-01
81,1.33,0.0283,0.72,2003-12-01
82,1.33,0.0291,0.71,2004-01-01
83,1.2109999999999999,0.0322,0.65,2004-02-01
84,1.4180000000000001,0.0349,0.6,2004-03-01
85,1.52,0.0234,0.57,2004-04-01
86,1.505,0.0237,0.56,2004-05-01
87,1.807,0.028,0.55,2004-06-01
88,1.808,0.0263,0.54,2004-07-01
89,1.588,0.0262,0.54,2004-08-01
90,1.393,0.0353,0.53,2004-09-01
91,1.483,0.0257,0.51,2004-10-01
92,1.452,0.0281,0.46,2004-11-01
93,1.3969999999999998,0.0345,0.45,2004-12-01
94,1.31,0.0243,0.44,2005-01-01
95,1.419,0.0227,0.43,2005-02-01
96,1.325,0.0372,0.4,2005-03-01
97,1.2570000000000001,0.0288,0.39,2005-04-01
98,1.238,0.0229,0.38,2005-05-01
99,1.143,0.0313,0.37,2005-06-01
100,1.295,0.0288,0.36,2005-07-01
101,1.365,0.0284,0.36,2005-08-01
102,1.45,0.0329,0.34,2005-09-01
103,1.5130000000000001,0.0275,0.34,2005-10-01
104,1.454,0.0305,0.34,2005-11-01
105,1.4880000000000002,0.0355,0.34,2005-12-01
106,1.547,0.0381,0.34,2006-01-01
107,1.598,0.0419,0.33615,2006-02-01
108,1.7590000000000001,0.0665,0.33286,2006-03-01
109,1.956,0.0643,0.33214,2006-04-01
110,1.849,0.1103,0.33214,2006-05-01
111,1.901,0.2205,0.33214,2006-06-01
112,1.9269999999999998,0.3666,0.32857,2006-07-01
113,1.6680000000000001,0.3849,0.32929,2006-08-01
114,1.6280000000000001,0.3892,0.32929,2006-09-01
115,1.7180000000000002,0.3807,0.32929,2006-10-01
116,1.69,0.4107,0.32929,2006-11-01
117,1.645,0.474,0.33077,2006-12-01
118,1.705,0.4903,0.33166999999999996,2007-01-01
119,1.64,0.5047,0.33166999999999996,2007-02-01
120,1.629,0.6226,0.33166999999999996,2007-03-01
121,1.653,0.5818,0.33166999999999996,2007-04-01
122,1.733,0.5926,0.33455,2007-05-01
123,1.903,0.6286,0.32727,2007-06-01
124,1.8090000000000002,0.6701,0.32727,2007-07-01
125,1.577,0.741,0.32727,2007-08-01
126,1.6980000000000002,0.7642,0.32636,2007-09-01
127,1.6159999999999999,0.7516,0.31818,2007-10-01
128,1.4969999999999999,0.7603,0.30818,2007-11-01
129,1.526,0.7642,0.29181999999999997,2007-12-01
130,1.429,0.7527,0.26909,2008-01-01
131,1.429,0.7584,0.25,2008-02-01
132,1.245,0.7464,0.22818000000000002,2008-03-01
133,1.6,0.6985,0.22818000000000002,2008-04-01
134,1.778,0.6969,0.22818000000000002,2008-05-01
135,1.601,0.7278,0.228,2008-06-01
136,1.537,0.7392,0.228,2008-07-01
137,1.431,0.7457,0.228,2008-08-01
138,1.4809999999999999,0.7337,0.221,2008-09-01
139,1.486,0.7899,0.22,2008-10-01
140,1.3769999999999998,0.7884,0.22,2008-11-01
141,1.214,0.7486,0.22,2008-12-01
142,1.272,0.6107,0.212,2009-01-01
143,1.2770000000000001,0.5993,0.212,2009-02-01
144,1.3230000000000002,0.4734,0.212,2009-03-01
145,1.402,0.3585,0.21,2009-04-01
146,1.4809999999999999,0.3359,0.21,2009-05-01
147,1.3630000000000002,0.3173,0.21,2009-06-01
148,1.386,0.3138,0.21,2009-07-01
149,1.314,0.2545,0.21,2009-08-01
150,1.258,0.2332,0.192,2009-09-01
151,1.4040000000000001,0.2446,0.182,2009-10-01
152,1.253,0.2272,0.179,2009-11-01
153,1.272,0.2041,0.17300000000000001,2009-12-01
154,1.308,0.2085,0.171,2010-01-01
155,1.295,0.2094,0.17,2010-02-01
156,1.361,0.1747,0.17,2010-03-01
157,1.286,0.1685,0.16899999999999998,2010-04-01
158,1.2570000000000001,0.164,0.16899999999999998,2010-05-01
159,1.08,0.1498,0.16899999999999998,2010-06-01
160,1.075,0.1516,0.16899999999999998,2010-07-01
161,1.023,0.1391,0.16899999999999998,2010-08-01
162,0.898,0.1338,0.16899999999999998,2010-09-01
163,0.903,0.1243,0.16899999999999998,2010-10-01
164,1.161,0.1269,0.16899999999999998,2010-11-01
165,1.133,0.1259,0.16899999999999998,2010-12-01
166,1.213,0.1289,0.098,2011-01-01
167,1.2409999999999999,0.1186,0.098,2011-02-01
168,1.214,0.1276,0.06,2011-03-01
169,1.215,0.1284,0.06,2011-04-01
170,1.1179999999999999,0.1259,0.059000000000000004,2011-05-01
171,1.084,0.113,0.057999999999999996,2011-06-01
172,1.075,0.1247,0.057999999999999996,2011-07-01
173,1.023,0.122,0.055999999999999994,2011-08-01
174,0.975,0.1149,0.055999999999999994,2011-09-01
175,1.038,0.1208,0.055999999999999994,2011-10-01
176,1.062,0.1153,0.055999999999999994,2011-11-01
177,0.971,0.1143,0.055999999999999994,2011-12-01
178,0.9590000000000001,0.1242,0.055999999999999994,2012-01-01
179,0.9620000000000001,0.1172,0.055999999999999994,2012-02-01
180,0.966,0.1172,0.055999999999999994,2012-03-01
181,0.914,0.1228,0.055999999999999994,2012-04-01
182,0.846,0.1205,0.055999999999999994,2012-05-01
183,0.789,0.1188,0.075,2012-06-01
184,0.78,0.1194,0.055999999999999994,2012-07-01
185,0.8,0.1162,0.055999999999999994,2012-08-01
186,0.757,0.1175,0.063,2012-09-01
187,0.76,0.1182,0.063,2012-10-01
188,0.713,0.1147,0.063,2012-11-01
189,0.7809999999999999,0.1109,0.068,2012-12-01
190,0.775,0.1114,0.068,2013-01-01
191,0.669,0.1037,0.09699999999999999,2013-02-01
192,0.49200000000000005,0.0999,0.09699999999999999,2013-03-01
193,0.589,0.0939,0.078,2013-04-01
194,0.879,0.097,0.078,2013-05-01
195,0.8220000000000001,0.0955,0.091,2013-06-01
196,0.79,0.1005,0.091,2013-07-01
197,0.708,0.0981,0.05,2013-08-01
198,0.669,0.1001,0.05,2013-09-01
199,0.59,0.0906,0.05,2013-10-01
200,0.605,0.0871,0.05,2013-11-01
201,0.688,0.0914,0.03,2013-12-01
202,0.614,0.0872,0.03,2014-01-01
203,0.586,0.0922,0.05,2014-02-01
204,0.605,0.0987,0.05,2014-03-01
205,0.61,0.0935,0.049,2014-04-01
206,0.5660000000000001,0.0905,0.049,2014-05-01
207,0.536,0.0884,0.049,2014-06-01
208,0.527,0.0912,0.009000000000000001,2014-07-01
209,0.488,0.0884,0.009000000000000001,2014-08-01
210,0.49700000000000005,0.091,0.009000000000000001,2014-09-01
211,0.465,0.0889,0.018000000000000002,2014-10-01
212,0.42,0.0803,0.021,2014-11-01
213,0.33,0.0837,0.021,2014-12-01
214,0.275,0.0811,0.021,2015-01-01
215,0.33,0.0873,0.006,2015-02-01
216,0.4,0.0914,-0.039,2015-03-01
217,0.34,0.0872,-0.042,2015-04-01
218,0.39,0.0841,-0.042,2015-05-01
219,0.455,0.0845,-0.065,2015-06-01
220,0.41,0.0872,-0.065,2015-07-01
221,0.38,0.0784,-0.055,2015-08-01
222,0.35,0.0878,-0.055,2015-09-01
223,0.3,0.086,-0.055,2015-10-01
224,0.3,0.0758,-0.055,2015-11-01
225,0.27,0.0854,-0.055,2015-12-01
226,0.095,0.0793,-0.055,2016-01-01
227,-0.065,0.0351,-0.065,2016-02-01
228,-0.05,0.0155,-0.065,2016-03-01
229,-0.085,0.011,-0.065,2016-04-01
230,-0.12,0.0112,-0.07200000000000001,2016-05-01
231,-0.23,0.0093,-0.07200000000000001,2016-06-01
232,-0.195,0.0098,-0.07200000000000001,2016-07-01
233,-0.07,0.0109,-0.07200000000000001,2016-08-01
234,-0.085,0.0106,-0.07200000000000001,2016-09-01
235,-0.05,0.0096,-0.07200000000000001,2016-10-01
236,0.02,0.00825,-0.049,2016-11-01
237,0.04,0.01,-0.049,2016-12-01
238,0.085,0.008,-0.049,2017-01-01
239,0.05,0.0088,-0.049,2017-02-01
240,0.065,0.0123,-0.049,2017-03-01
241,0.015,0.0103,-0.049,2017-04-01
242,0.04,0.0098,0.005,2017-05-01
243,0.075,0.009,-0.031,2017-06-01
244,0.075,0.0118,-0.02,2017-07-01
245,0.01,0.011,-0.016,2017-08-01
246,0.06,0.0085,-0.016,2017-09-01
247,0.065,0.0094,-0.016,2017-10-01
248,0.035,0.0085,-0.015,2017-11-01
249,0.045,0.0103,-0.006,2017-12-01
250,0.08,0.0102,0.001,2018-01-01
251,0.045,0.007,-0.008,2018-02-01
252,0.045,0.0118,-0.001,2018-03-01
253,0.05,0.0126,-0.019,2018-04-01
254,0.03,0.0113,-0.003,2018-05-01
255,0.03,0.012,-0.003,2018-06-01
256,0.06,0.0132,-0.003,2018-07-01
257,0.11,0.011,0.024,2018-08-01
258,0.125,0.012,-0.012,2018-09-01
259,0.13,0.0132,0.024,2018-10-01
260,0.085,0.008,0.052000000000000005,2018-11-01
261,-0.01,0.01,0.025,2018-12-01
262,0.0,0.0135,0.027000000000000003,2019-01-01
263,-0.015,0.012,0.0,2019-02-01
264,-0.095,0.01,0.0,2019-03-01
265,-0.045,0.0123,0.0,2019-04-01
266,-0.095,0.011,0.0,2019-05-01
267,-0.165,0.0095,0.0,2019-06-01
268,-0.16,0.0136,0.0,2019-07-01
269,-0.28,0.0105,0.0,2019-08-01
270,-0.215,0.0106,0.0,2019-09-01
271,-0.15,0.0125,0.0,2019-10-01
272,-0.08,0.0095,0.0,2019-11-01
273,-0.025,0.0095,0.0,2019-12-01
274,-0.065,0.013,0.0,2020-01-01
275,-0.155,0.0093,0.0,2020-02-01
276,0.005,0.0098,0.0,2020-03-01
277,-0.04,0.009,0.0,2020-04-01
278,0.0,0.0123,0.0,2020-05-01
279,0.03,0.0122,0.0,2020-06-01
280,0.01,0.017,0.0,2020-07-01
281,0.045,0.0126,0.0,2020-08-01
282,0.015,0.0108,0.0,2020-09-01
283,0.04,0.0125,0.0,2020-10-01
284,0.03,0.0106,0.0,2020-11-01
285,0.02,0.0093,0.0,2020-12-01
286,0.055,0.0123,0.0,2021-01-01
287,0.15,0.011,0.0,2021-02-01
288,0.12,0.0106,0.0,2021-03-01
289,0.09,0.008,0.0,2021-04-01
290,0.08,0.008,0.0,2021-05-01
291,0.05,0.0078,0.0,2021-06-01
292,0.015,0.0085,0.0,2021-07-01
293,0.02,0.009,0.0,2021-08-01
294,0.065,0.0093,0.0,2021-09-01
295,0.095,0.009,0.0,2021-10-01
296,0.05,0.0092,0.0,2021-11-01
297,0.07,0.0075,0.0,2021-12-01
298,0.17,0.0082,0.0,2022-01-01
299,0.18,0.007,0.0,2022-02-01
300,0.21,0.0075,0.0,2022-03-01
301,0.215,0.0,0.0,2022-04-01
302,0.235,0.0,0.0,2022-05-01
303,0.225,0.0,0.0,2022-06-01
304,0.18,0.0,0.0,2022-07-01
305,0.22,0.0,0.0,2022-08-01
306,0.24,0.0,0.0,2022-09-01
307,0.245,0.0,0.0,2022-10-01
308,0.25,0.0,0.0,2022-11-01
309,0.41,0.0,0.0,2022-12-01
310,0.49,0.0,0.0,2023-01-01
311,0.5,0.0,0.0,2023-02-01
312,0.32,0.0,0.0,2023-03-01
313,0.385,0.0,0.0,2023-04-01
314,0.43,0.0,0.0,2023-05-01
315,0.395,0.0,0.0,2023-06-01
316,0.595,0.0,0.0,2023-07-01
317,0.64,0.0,0.0,2023-08-01
318,0.765,0.0,0.0,2023-09-01
319,0.95,0.0,0.0,2023-10-01
320,0.66,0.0,0.0,2023-11-01
321,0.62,0.0,0.0,2023-12-01
322,0.73,0.0,0.0,2024-01-01
323,0.71,0.0,0.0,2024-02-01
