,10y,3m_ts,3m_ib,date
0,5.0114,6.555,7.220610000000001,1998-10-01
1,4.9292,6.2371,6.974480000000001,1998-11-01
2,4.5175,5.5552,6.46034,1998-12-01
3,4.2868,5.3188,5.92171,1999-01-01
4,4.4319,5.0458,5.531969999999999,1999-02-01
5,4.6554,4.8669,5.42287,1999-03-01
6,4.592,4.9215,5.31773,1999-04-01
7,4.9068,4.9214,5.34875,1999-05-01
8,5.1716,4.7086,5.22114,1999-06-01
9,5.3721,4.8593,5.16688,1999-07-01
10,5.4312,4.8373,5.25409,1999-08-01
11,5.6909,5.3095,5.4107,1999-09-01
12,5.8801,5.2526,6.02564,1999-10-01
13,5.3145,5.2094,5.8725,1999-11-01
14,5.388999999999999,5.6154,6.0553099999999995,1999-12-01
15,5.8227,5.7646,6.1363199999999996,2000-01-01
16,5.6347,5.8426,6.23781,2000-02-01
17,5.3707,5.8425,6.2283800000000005,2000-03-01
18,5.3213,5.9577,6.296469999999999,2000-04-01
19,5.4033,5.95,6.30356,2000-05-01
20,5.2097,5.846,6.22682,2000-06-01
21,5.2388,5.8431,6.19247,2000-07-01
22,5.3312,5.8606,6.2175400000000005,2000-08-01
23,5.3873,5.765,6.20569,2000-09-01
24,5.2179,5.727,6.16274,2000-10-01
25,5.0983,5.6396,6.08629,2000-11-01
26,4.9118,5.6113,5.95539,2000-12-01
27,4.8471,5.4937,5.84578,2001-01-01
28,4.8248,5.3881,5.75655,2001-02-01
29,4.703,5.2231,5.55126,2001-03-01
30,4.9468,5.0461,5.40449,2001-04-01
31,5.1153,4.9599,5.2485800000000005,2001-05-01
32,5.1951,5.036,5.25854,2001-06-01
33,5.2037,4.9775,5.25436,2001-07-01
34,4.9854,4.6553,4.996580000000001,2001-08-01
35,4.9876,4.2828,4.7294599999999996,2001-09-01
36,4.8253,4.1157,4.42821,2001-10-01
37,4.6271,3.7711,3.99675,2001-11-01
38,4.8928,3.8333,4.0506,2001-12-01
39,4.9171,3.8597,4.0467699999999995,2002-01-01
40,4.9251,3.888,4.0526800000000005,2002-02-01
41,5.2202,4.0002,4.13055,2002-03-01
42,5.2331,3.9409,4.17319,2002-04-01
43,5.2689,4.001,4.1537,2002-05-01
44,5.099,3.9311,4.17758,2002-06-01
45,5.0027,3.7153,4.0605400000000005,2002-07-01
46,4.746,3.8193,3.98654,2002-08-01
47,4.5006,3.7742,3.98872,2002-09-01
48,4.6160000000000005,3.6907,3.96401,2002-10-01
49,4.6378,3.8269,3.9714199999999997,2002-11-01
50,4.5644,3.8427,4.01777,2002-12-01
51,4.3899,3.754,3.9826300000000003,2003-01-01
52,4.2131,3.459,3.75425,2003-02-01
53,4.3243,3.4814,3.6550300000000004,2003-03-01
54,4.4663,3.4432,3.64598,2003-04-01
55,4.2197,3.4099,3.6325199999999995,2003-05-01
56,4.1127,3.468,3.6396599999999997,2003-06-01
57,4.4078,3.3346,3.49022,2003-07-01
58,4.604,3.4949,3.5224900000000003,2003-08-01
59,4.7132,3.5591,3.6967,2003-09-01
60,4.9071,3.7781,3.80338,2003-10-01
61,5.065,3.8201,3.98043,2003-11-01
62,4.896,3.739,4.01864,2003-12-01
63,4.7875,3.917,4.0553099999999995,2004-01-01
64,4.8056,4.033,4.16654,2004-02-01
65,4.7088,4.171,4.29673,2004-03-01
66,4.957,4.228,4.3947199999999995,2004-04-01
67,5.1118,4.448,4.52872,2004-05-01
68,5.2,4.619,4.78974,2004-06-01
69,5.1083,4.714,4.8570199999999994,2004-07-01
70,5.0071,4.732,4.96284,2004-08-01
71,4.9109,4.6795,4.9469,2004-09-01
72,4.7683,4.679,4.90071,2004-10-01
73,4.6903,4.64,4.88359,2004-11-01
74,4.5316,4.691,4.87103,2004-12-01
75,4.5419,4.654,4.8731599999999995,2005-01-01
76,4.5884,4.7346,4.89069,2005-02-01
77,4.796,4.7594,4.98736,2005-03-01
78,4.6218,4.6949,4.94336,2005-04-01
79,4.4173,4.648,4.89375,2005-05-01
80,4.2847,4.5179,4.84144,2005-06-01
81,4.3011,4.4304,4.65794,2005-07-01
82,4.3249,4.382,4.59465,2005-08-01
83,4.2109,4.4004,4.5968599999999995,2005-09-01
84,4.3482,4.4238,4.58701,2005-10-01
85,4.3129,4.4003,4.618469999999999,2005-11-01
86,4.2186,4.4271,4.63732,2005-12-01
87,4.0752,4.4017,4.603680000000001,2006-01-01
88,4.1543,4.3885,4.58199,2006-02-01
89,4.3177,4.4107,4.58741,2006-03-01
90,4.5177,4.4502,4.6296,2006-04-01
91,4.6488,4.5129,4.7015,2006-05-01
92,4.6645,4.5352,4.73498,2006-06-01
93,4.656000000000001,4.5768,4.733219999999999,2006-07-01
94,4.6535,4.7651,4.94425,2006-08-01
95,4.5522,4.8669,5.02501,2006-09-01
96,4.6155,4.9773,5.13176,2006-10-01
97,4.5452,5.0444,5.22544,2006-11-01
98,4.6195,5.108,5.29167,2006-12-01
99,4.8694,5.3662,5.48623,2007-01-01
100,4.896,5.31,5.5657,2007-02-01
101,4.8194,5.3808,5.54946,2007-03-01
102,5.0439,5.4721,5.64899,2007-04-01
103,5.1458,5.5896,5.7674199999999995,2007-05-01
104,5.4321,5.7699,5.88018,2007-06-01
105,5.4084,5.7543,6.02396,2007-07-01
106,5.1499,5.7675,6.41946,2007-08-01
107,4.9928,5.6055,6.64694,2007-09-01
108,4.9576,5.5708,6.2701400000000005,2007-10-01
109,4.7263,5.4435,6.408580000000001,2007-11-01
110,4.6937,5.2388,6.359430000000001,2007-12-01
111,4.4925,5.0106,5.65965,2008-01-01
112,4.6234,4.9772,5.64202,2008-02-01
113,4.445,4.769,5.899290000000001,2008-03-01
114,4.6432,4.8966,5.91881,2008-04-01
115,4.8683,5.0379,5.82639,2008-05-01
116,5.2103,5.1022,5.9294400000000005,2008-06-01
117,5.0494,5.0851,5.8322,2008-07-01
118,4.7267,4.9386,5.76619,2008-08-01
119,4.5701,4.5131,5.9106,2008-09-01
120,4.5789,3.5418,6.13304,2008-10-01
121,4.2571,1.6806,4.44684,2008-11-01
122,3.6238,1.242,3.17247,2008-12-01
123,3.6699,0.9057,2.3427599999999997,2009-01-01
124,3.6899,0.6595,2.09038,2009-02-01
125,3.2497,0.621,1.83139,2009-03-01
126,3.4072,0.5677,1.53413,2009-04-01
127,3.6206,0.5168,1.35795,2009-05-01
128,3.7221,0.4941,1.24117,2009-06-01
129,3.8238,0.4339,1.0011299999999999,2009-07-01
130,3.7142,0.374,0.77369,2009-08-01
131,3.6566,0.387,0.6056,2009-09-01
132,3.5699,0.455,0.57087,2009-10-01
133,3.7592,0.457,0.60936,2009-11-01
134,3.8871,0.4911,0.60541,2009-12-01
135,4.0025,0.4876,0.61265,2010-01-01
136,4.0624,0.4915,0.6331,2010-02-01
137,4.0915,0.5131,0.64549,2010-03-01
138,4.1007,0.504,0.65592,2010-04-01
139,3.7772,0.4946,0.69713,2010-05-01
140,3.6007,0.4877,0.72839,2010-06-01
141,3.5087,0.4986,0.7360300000000001,2010-07-01
142,3.233,0.494,0.7329600000000001,2010-08-01
143,3.1271,0.5106,0.72859,2010-09-01
144,3.0685,0.5047,0.7384,2010-10-01
145,3.3110000000000004,0.4858,0.7390100000000001,2010-11-01
146,3.6098,0.5007,0.74962,2010-12-01
147,3.7273,0.5092,0.76866,2011-01-01
148,3.8799,0.539,0.79962,2011-02-01
149,3.7386,0.6043,0.80913,2011-03-01
150,3.7619,0.5602,0.82096,2011-04-01
151,3.5053,0.5264,0.82344,2011-05-01
152,3.4144,0.5083,0.8251200000000001,2011-06-01
153,3.3137,0.4875,0.8289,2011-07-01
154,2.7833,0.4578,0.85782,2011-08-01
155,2.504,0.464,0.9181,2011-09-01
156,2.529,0.4583,0.96991,2011-10-01
157,2.2917,0.4099,1.0118200000000002,2011-11-01
158,2.1828,0.2407,1.06148,2011-12-01
159,2.1104,0.3646,1.08709,2012-01-01
160,2.2191,0.4019,1.07249,2012-02-01
161,2.323,0.4428,1.03757,2012-03-01
162,2.2117,0.4026,1.0179200000000002,2012-04-01
163,1.9416,0.3333,1.005,2012-05-01
164,1.7698,0.3532,0.94978,2012-06-01
165,1.6523,0.2633,0.81735,2012-07-01
166,1.6735,0.2418,0.70481,2012-08-01
167,1.7222,0.261,0.64803,2012-09-01
168,1.7721,0.2346,0.54397,2012-10-01
169,1.7741,0.2316,0.52452,2012-11-01
170,1.8467,0.309,0.51848,2012-12-01
171,2.0795,0.289,0.5122800000000001,2013-01-01
172,2.1781,0.3443,0.50988,2013-02-01
173,1.9768,0.3752,0.50688,2013-03-01
174,1.7824,0.3273,0.50557,2013-04-01
175,1.9462,0.309,0.50563,2013-05-01
176,2.3063,0.3289,0.50794,2013-06-01
177,2.471,0.2997,0.50944,2013-07-01
178,2.7088,0.2686,0.51262,2013-08-01
179,2.8443,0.3504,0.51688,2013-09-01
180,2.6784,0.3184,0.51663,2013-10-01
181,2.7598,0.2882,0.52344,2013-11-01
182,2.9458,0.257,0.52474,2013-12-01
183,2.91,0.3601,0.52093,2014-01-01
184,2.8147,0.3768,0.52153,2014-02-01
185,2.7837,0.421,0.52157,2014-03-01
186,2.7417,0.3438,0.52665,2014-04-01
187,2.6989,0.2762,0.5274399999999999,2014-05-01
188,2.7842,0.4171,0.54394,2014-06-01
189,2.7343,0.4178,0.5564100000000001,2014-07-01
190,2.5347,0.3974,0.56119,2014-08-01
191,2.4919,0.4803,0.56291,2014-09-01
192,2.2469,0.3901,0.5583600000000001,2014-10-01
193,2.1593,0.4129,0.55628,2014-11-01
194,1.9287,0.3884,0.55818,2014-12-01
195,1.589,0.3421,0.5626,2015-01-01
196,1.7365,0.3999,0.56363,2015-02-01
197,1.7941,0.4417,0.5643600000000001,2015-03-01
198,1.755,0.4365,0.5695,2015-04-01
199,2.0243,0.4642,0.56798,2015-05-01
200,2.1696,0.4956,0.57188,2015-06-01
201,2.1353,0.4848,0.5808399999999999,2015-07-01
202,1.9799,0.4544,0.5867,2015-08-01
203,1.8814,0.4665,0.5857600000000001,2015-09-01
204,1.8459999999999999,0.4801,0.58006,2015-10-01
205,1.9779,0.4836,0.57371,2015-11-01
206,1.9234,0.4511,0.58277,2015-12-01
207,1.7833,0.4811,0.5897600000000001,2016-01-01
208,1.5032,0.467,0.59073,2016-02-01
209,1.5434,0.4596,0.58825,2016-03-01
210,1.5688,0.4442,0.5889,2016-04-01
211,1.5366,0.4254,0.58929,2016-05-01
212,1.3105,0.3998,0.57468,2016-06-01
213,0.9569,0.3427,0.5136,2016-07-01
214,0.7421,0.2212,0.40613,2016-08-01
215,0.8243,0.1837,0.37906999999999996,2016-09-01
216,1.078,0.1599,0.3975,2016-10-01
217,1.3818,0.1209,0.39773000000000003,2016-11-01
218,1.4336,0.0106,0.37226,2016-12-01
219,1.4203,0.1642,0.3621,2017-01-01
220,1.3058,0.0344,0.35674,2017-02-01
221,1.194,0.0621,0.34567,2017-03-01
222,1.0789,0.0693,0.33513000000000004,2017-04-01
223,1.1175,0.0575,0.31081,2017-05-01
224,1.0846,0.1262,0.29441999999999996,2017-06-01
225,1.2713,0.0,0.2931,2017-07-01
226,1.1241,0.0,0.28119,2017-08-01
227,1.2436,0.0,0.30911,2017-09-01
228,1.3816,0.0,0.38187,2017-10-01
229,1.3299,0.0,0.51857,2017-11-01
230,1.2781,0.0,0.51871,2017-12-01
231,1.3931,0.0,0.5225,2018-01-01
232,1.6034,0.0,0.54683,2018-02-01
233,1.508,0.0,0.62842,2018-03-01
234,1.5108,0.0,0.75629,2018-04-01
235,1.5016,0.0,0.64355,2018-05-01
236,1.4229,0.0,0.63868,2018-06-01
237,1.3739,0.0,0.7461899999999999,2018-07-01
238,1.3991,0.0,0.80519,2018-08-01
239,1.5023,0.0,0.80093,2018-09-01
240,1.5462,0.0,0.80618,2018-10-01
241,1.4541,0.0,0.8748299999999999,2018-11-01
242,1.3125,0.0,0.9044399999999999,2018-12-01
243,1.3221,0.0,0.91822,2019-01-01
244,1.239,0.0,0.87598,2019-02-01
245,1.19,0.0,0.84,2019-03-01
246,1.1906,0.0,0.82,2019-04-01
247,1.13,0.0,0.8,2019-05-01
248,0.919,0.0,0.78,2019-06-01
249,0.8304,0.0,0.77,2019-07-01
250,0.5776,0.0,0.76,2019-08-01
251,0.5981,0.0,0.77,2019-09-01
252,0.6373,0.0,0.78,2019-10-01
253,0.765,0.0,0.79,2019-11-01
254,0.8308,0.0,0.79,2019-12-01
255,0.7235,0.0,0.74,2020-01-01
256,0.633,0.0,0.75,2020-02-01
257,0.4609,0.0,0.53,2020-03-01
258,0.3577,0.0,0.65,2020-04-01
259,0.2743,0.0,0.33,2020-05-01
260,0.278,0.0,0.19,2020-06-01
261,0.2094,0.0,0.1,2020-07-01
262,0.2717,0.0,0.07,2020-08-01
263,0.273,0.0,0.06,2020-09-01
264,0.3058,0.0,0.05,2020-10-01
265,0.3836,0.0,0.04,2020-11-01
266,0.3224,0.0,0.03,2020-12-01
267,0.3672,0.0,0.03,2021-01-01
268,0.6222,0.0,0.05,2021-02-01
269,0.8456,0.0,0.08,2021-03-01
270,0.8515,0.0,0.09,2021-04-01
271,0.9058,0.0,0.08,2021-05-01
272,0.8549,0.0,0.08,2021-06-01
273,0.6979,0.0,0.08,2021-07-01
274,0.644,0.0,0.07,2021-08-01
275,0.8023,0.0,0.07,2021-09-01
276,1.083,0.0,0.16,2021-10-01
277,0.9394,0.0,0.13,2021-11-01
278,0.8375,0.0,0.16,2021-12-01
279,1.2051,0.0,0.53,2022-01-01
280,1.4891,0.0,0.81,2022-02-01
281,1.5457,0.0,0.99,2022-03-01
282,1.8362,0.0,1.13,2022-04-01
283,1.9069,0.0,1.31,2022-05-01
284,2.3824,0.0,1.57,2022-06-01
285,2.1454,0.0,1.84,2022-07-01
286,2.3278,0.0,2.23,2022-08-01
287,3.5007,0.0,2.91,2022-09-01
288,4.1096,0.0,3.39,2022-10-01
289,3.4171,0.0,3.52,2022-11-01
290,3.5015,0.0,3.78,2022-12-01
291,3.5115,0.0,4.01,2023-01-01
292,3.5553,0.0,4.21,2023-02-01
293,3.5638,0.0,4.33,2023-03-01
294,3.6503,0.0,4.52,2023-04-01
295,3.9621,0.0,4.73,2023-05-01
296,4.3659,0.0,5.09,2023-06-01
297,4.4372,0.0,5.49,2023-07-01
298,4.5298,0.0,5.53,2023-08-01
299,4.4199,0.0,5.52,2023-09-01
300,4.5695,0.0,5.4,2023-10-01
301,4.2721,0.0,5.36,2023-11-01
302,3.8622,0.0,5.22,2023-12-01
303,3.9319,0.0,5.2,2024-01-01
